Income,Age Group,City Tier,Number of Dependents,Debts,Education,Assets,Insurance Status,Credit Score (Normalized)
"₹12,00,001 – ₹25,00,000",Above 65,Tier 3,5,"₹1,00,001 – ₹5,00,000",Masters,"Above ₹1,00,00,000",No missed payments,723
"₹6,00,001 – ₹12,00,000",26–35,Tier 2,0,"₹10,00,001 – ₹25,00,000",Masters,"₹2,00,000 – ₹10,00,000",1–2 late payments,627
"Below ₹3,00,000",Above 65,Tier 3,0,"₹10,00,001 – ₹25,00,000",Bachelors,"Below ₹2,00,000",No missed payments,518
"Above ₹25,00,000",Above 65,Tier 2,4,"₹5,00,001 – ₹10,00,000",Diploma,"Below ₹2,00,000",More than 2 missed payments,518
"₹6,00,001 – ₹12,00,000",18–25,Tier 1,6,"₹1,00,001 – ₹5,00,000",High School,"Below ₹2,00,000",No missed payments,545
"Below ₹3,00,000",36–50,Tier 1,4,"₹5,00,001 – ₹10,00,000",Diploma,"Below ₹2,00,000",No missed payments,573
"₹3,00,001 – ₹6,00,000",Above 65,Tier 3,2,"₹5,00,001 – ₹10,00,000",Bachelors,"₹2,00,000 – ₹10,00,000",No missed payments,573
"Above ₹25,00,000",36–50,Tier 1,2,"₹1,00,001 – ₹5,00,000",Bachelors,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,736
"Below ₹3,00,000",36–50,Tier 2,2,"₹10,00,001 – ₹25,00,000",Diploma,"Below ₹2,00,000",1–2 late payments,491
"Above ₹25,00,000",51–65,Tier 2,6,"Above ₹25,00,000",Diploma,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,545
"₹3,00,001 – ₹6,00,000",Above 65,Tier 1,3,"₹1,00,001 – ₹5,00,000",PhD,"₹2,00,000 – ₹10,00,000",No missed payments,695
"Above ₹25,00,000",Above 65,Tier 2,4,"Below ₹1,00,000",Masters,"Above ₹1,00,00,000",No missed payments,818
"Below ₹3,00,000",36–50,Tier 1,4,"Above ₹25,00,000",Bachelors,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,573
"₹3,00,001 – ₹6,00,000",18–25,Tier 2,2,"₹5,00,001 – ₹10,00,000",Diploma,"Below ₹2,00,000",1–2 late payments,491
"₹6,00,001 – ₹12,00,000",Above 65,Tier 3,5,"Below ₹1,00,000",Bachelors,"Above ₹1,00,00,000",1–2 late payments,641
"Above ₹25,00,000",36–50,Tier 1,1,"Above ₹25,00,000",High School,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,614
"Below ₹3,00,000",Above 65,Tier 3,4,"₹10,00,001 – ₹25,00,000",High School,"Above ₹1,00,00,000",No missed payments,518
"₹6,00,001 – ₹12,00,000",26–35,Tier 2,3,"Below ₹1,00,000",Masters,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,668
"₹12,00,001 – ₹25,00,000",36–50,Tier 1,1,"₹10,00,001 – ₹25,00,000",Bachelors,"₹50,00,001 – ₹1,00,00,000",No missed payments,777
"₹3,00,001 – ₹6,00,000",Above 65,Tier 1,1,"₹5,00,001 – ₹10,00,000",PhD,"Above ₹1,00,00,000",1–2 late payments,723
"₹3,00,001 – ₹6,00,000",26–35,Tier 3,2,"₹5,00,001 – ₹10,00,000",High School,"₹10,00,001 – ₹50,00,000",No missed payments,573
"Below ₹3,00,000",Above 65,Tier 2,0,"Below ₹1,00,000",Diploma,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,627
"₹3,00,001 – ₹6,00,000",Above 65,Tier 2,2,"₹5,00,001 – ₹10,00,000",Bachelors,"₹2,00,000 – ₹10,00,000",More than 2 missed payments,518
"Below ₹3,00,000",Above 65,Tier 1,2,"Below ₹1,00,000",PhD,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,682
"₹6,00,001 – ₹12,00,000",51–65,Tier 2,5,"Above ₹25,00,000",Masters,"₹10,00,001 – ₹50,00,000",No missed payments,614
"Below ₹3,00,000",51–65,Tier 1,6,"Above ₹25,00,000",Diploma,"Above ₹1,00,00,000",No missed payments,573
"Below ₹3,00,000",26–35,Tier 2,0,"₹10,00,001 – ₹25,00,000",Bachelors,"Above ₹1,00,00,000",No missed payments,682
