Income,Age Group,City Tier,Number of Dependents,Debts,Education,Assets,Insurance Status,Credit Score,Credit Score (Normalized)
"₹12,00,001 – ₹25,00,000",Above 65,Tier 3,5,"₹1,00,001 – ₹5,00,000",Masters,"Above ₹1,00,00,000",No missed payments,4250,726.9230769230769
"₹6,00,001 – ₹12,00,000",26–35,Tier 2,0,"₹10,00,001 – ₹25,00,000",Masters,"₹2,00,000 – ₹10,00,000",1–2 late payments,3700,600.0
"Below ₹3,00,000",Above 65,Tier 3,0,"₹10,00,001 – ₹25,00,000",Bachelors,"Below ₹2,00,000",No missed payments,3500,553.8461538461538
"Above ₹25,00,000",Above 65,Tier 2,4,"₹5,00,001 – ₹10,00,000",Diploma,"Below ₹2,00,000",More than 2 missed payments,3300,507.6923076923077
"₹6,00,001 – ₹12,00,000",18–25,Tier 1,6,"₹1,00,001 – ₹5,00,000",High School,"Below ₹2,00,000",No missed payments,3200,484.61538461538464
"Below ₹3,00,000",36–50,Tier 1,4,"₹5,00,001 – ₹10,00,000",Diploma,"Below ₹2,00,000",No missed payments,3300,507.6923076923077
"₹3,00,001 – ₹6,00,000",Above 65,Tier 3,2,"₹5,00,001 – ₹10,00,000",Bachelors,"₹2,00,000 – ₹10,00,000",No missed payments,3700,600.0
"Above ₹25,00,000",36–50,Tier 1,2,"₹1,00,001 – ₹5,00,000",Bachelors,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,3900,646.1538461538462
"Below ₹3,00,000",36–50,Tier 2,2,"₹10,00,001 – ₹25,00,000",Diploma,"Below ₹2,00,000",1–2 late payments,3200,484.61538461538464
"Above ₹25,00,000",51–65,Tier 2,6,"Above ₹25,00,000",Diploma,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,3400,530.7692307692307
"₹3,00,001 – ₹6,00,000",Above 65,Tier 1,3,"₹1,00,001 – ₹5,00,000",PhD,"₹2,00,000 – ₹10,00,000",No missed payments,3750,611.5384615384615
"Above ₹25,00,000",Above 65,Tier 2,4,"Below ₹1,00,000",Masters,"Above ₹1,00,00,000",No missed payments,4400,761.5384615384615
"Below ₹3,00,000",36–50,Tier 1,4,"Above ₹25,00,000",Bachelors,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,3300,507.6923076923077
"₹3,00,001 – ₹6,00,000",18–25,Tier 2,2,"₹5,00,001 – ₹10,00,000",Diploma,"Below ₹2,00,000",1–2 late payments,3200,484.61538461538464
